movie_title,duration,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,num_voted_users,gross,imdb_score,budget,movie_facebook_likes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Superman Returns ,2.603156645465655,2.1813832922701546,-0.2592737713376945,0.676385114820397,1.7881123593155126,0.07986566995049611,0.9870136622360184,0.9117910878081984,2.131415919577287,6.1,0.7351849165553991,-0.4294531758261365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Quantum of Solace ,-0.17434922279563184,1.9313831402431616,-0.12855187701066903,-0.464792703458634,-0.348046523757738,-0.19332893628218858,-0.489425341000063,1.5110150129945343,1.6775820370109962,6.7,0.6947692470232358,-0.4294531758261365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest ,1.8095835402481444,1.20557624726157,-0.07295370423360502,2.1070029279230624,0.6741371386890783,0.13182621270455594,1.963370189869433,2.778939638336813,5.3233759350128365,7.3,0.8070349957236892,-0.19501703575762386,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lone Ranger ,1.7654961455138385,2.310415628800216,-0.07295370423360502,2.1070029279230624,0.0057520063132175,0.13182621270455594,1.8193054716260384,0.52327802289228,0.5454874056904565,6.5,0.7621286962435079,1.8211337688315856,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Man of Steel ,1.4568843823736952,4.592675081175666,-0.2592737713376945,0.4813008675791243,0.2285470504385044,-0.0031640633162999853,0.4857170098214795,2.954839187026562,3.4334945694174555,7.2,0.8070349957236892,5.103239729790763,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian ,1.7654961455138385,0.7620275904394858,-0.23279845096766402,0.936497444475427,-0.3917143524062942,-0.2961786703933173,0.6019612419841601,0.311997028781463,1.294563762495545,6.6,0.8070349957236892,-0.4294531758261365,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Avengers ,2.7795062244028794,4.350739450181802,-0.2592737713376945,1.196609774130457,4.238857844693668,9.773988785622857,4.033330492926142,5.917161809256424,8.190127494584685,8.1,0.7845818459835985,5.337675869859276,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pirates of the Caribbean: On Stranger Tides ,1.1482726192335524,2.294286586733958,-0.17587651217209851,2.1070029279230624,2.0109074034407994,0.13182621270455594,2.258837477523622,1.7756631863520436,2.7182961212450425,6.7,0.9193007444241424,2.290006048968611,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Men in Black 3 ,-0.17434922279563184,2.3184801498333445,-0.19705676846812292,0.15616045551033644,-0.2580373259311221,-0.019234334271163885,0.0674594932797362,1.0958117289920095,1.830083068577306,6.8,0.8070349957236892,1.4460359447219653,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Hobbit: The Battle of the Five Armies ,2.382719671794124,2.084609039872609,-0.2592737713376945,-0.16897995655845097,-0.2232812990475773,0.010227829146086213,-0.1130833196159802,1.666436149672727,2.91935828063162,7.5,0.9193007444241424,2.618216645064529,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man ,1.8977583297167568,3.512029262736407,-0.10571691319151771,0.4813008675791243,1.7881123593155126,0.11200621186022382,0.9077226373911744,2.313306027311979,3.0184584033833874,7.0,0.8294881454637798,2.196231592941206,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Hood ,2.030020513919675,1.4475118782554337,-0.2592737713376945,-0.4361803471965806,-0.2433328530188531,-0.008520820301254586,-0.4249683893785221,0.7219829251980069,0.7735401062788567,6.7,0.6947692470232358,0.3676297004068067,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Desolation of Smaug ,3.352642355948859,2.7862223697548147,-0.2592737713376945,-0.16897995655845097,-0.2232812990475773,0.010227829146086213,-0.1130833196159802,2.523705302809155,2.965842373832099,7.9,0.8070349957236892,3.4621867493111744,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Golden Compass ,0.13426254034451085,0.7055759432075842,-0.21658231724102042,0.5463289499928818,0.8969321828143652,0.13182621270455594,0.6763427692853486,0.3060106234572688,0.270527113527376,6.1,0.6049566480628732,-0.4294531758261365,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
King Kong ,4.013953276963451,2.2781575446677005,-0.2592737713376945,-0.10395187414469333,-0.2350894363862175,-0.3588527271172863,-0.2201948305415383,1.413124358490602,2.3888456094942145,7.2,0.7262036566593628,-0.4294531758261365,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Titanic ,3.705341513823309,1.2217052893278273,-0.2592737713376945,1.3916940213717297,2.67929253581666,0.021477018814490913,1.7911154534721456,4.575650141723054,8.696813121012697,7.7,0.6947692470232358,0.7896147525301296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Captain America: Civil War ,1.63323396131092,2.842674016986716,-0.22816526990290872,0.8714693620616696,3.793267756443095,5.488583197659168,2.824485500967365,1.1257503850762407,5.096675803652214,8.2,0.9193007444241424,2.946427241160446,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Battleship ,0.9278356455620216,1.721705593381813,-0.08321289087699181,0.4162727851653667,1.7881123593155126,-0.06798082283425079,0.8121722013264826,0.6597786714251235,0.200230005379072,5.9,0.7351849165553991,1.6335848567767757,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Jurassic World ,0.6192238824218786,3.8749327092272026,-0.13848012214943053,-0.299036121385966,0.0057520063132175,0.13182621270455594,-0.1497197851568068,2.090628985856433,8.603829716615262,7.0,0.4702377496223293,6.6036310262292455,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Skyfall ,1.4568843823736952,4.729771938738856,-0.2592737713376945,-0.4367005718558907,-0.3144044720948197,-0.19332893628218858,-0.4885806962613696,2.778873343704208,3.62445268063154,7.8,0.6947692470232358,3.321525065270067,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Spider-Man 2 ,1.1041852244992465,1.1007374738308957,-0.2592737713376945,1.0665536093029422,2.0109074034407994,1.738853308190939,1.6942452600032452,2.0438912698702003,4.612514615836301,7.3,0.6947692470232358,-0.4294531758261365,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Iron Man 3 ,3.7494289085576153,3.584609952034566,0.07166773328768619,0.8714693620616696,0.4513420945637913,1.2031776096954785,1.009977441069246,3.0139474814568112,5.122373029894761,7.2,0.6947692470232358,4.024833485475605,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alice in Wonderland ,-0.08617443332701957,2.3184801498333445,4.042965788792258,2.1070029279230624,5.130038021194816,5.488583197659168,3.624733600583204,1.3488318237906742,4.051428846616244,6.5,0.6947692470232358,0.6958402965027245,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: The Last Stand ,-0.2625240122642442,1.3749311889572746,-0.12027833939503452,0.806441279647912,-0.2598196862841244,-0.10387109463344668,0.5500683808506838,1.8600098474148588,2.6223230891860427,6.8,0.7396755465034172,-0.4294531758261365,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Monsters University ,-0.2625240122642442,1.713641072348684,-0.24702893566655543,0.2862166203378517,-0.2662807425637577,0.0032640450656452147,0.1884020618013989,0.8761842406362751,3.110906887330819,7.3,0.6947692470232358,1.6335848567767757,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Revenge of the Fallen ,1.7654961455138385,1.632995862017396,-0.2592737713376945,-0.4359852629493394,-0.3103941613005645,-0.15529596168901097,-0.4263409370788989,1.460783569870039,5.023368968061488,6.0,0.6947692470232358,-0.4294531758261365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Transformers: Age of Extinction ,2.4268070665284305,1.7297701144149418,-0.2592737713376945,-0.4307830163562388,-0.2268460197535819,0.028976478593427314,-0.3856924090292785,0.9252091214473668,2.780775259288011,5.7,0.7396755465034172,2.196231592941206,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oz the Great and Powerful ,0.8837482508277155,2.9152547062848755,-0.2592737713376945,2.3671152575780923,2.902087579941947,5.488583197659168,3.280752030750312,0.4809621589007725,2.630097609978766,6.4,0.7621286962435079,2.383780504996016,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man 2 ,1.412796987639389,2.6733190752910114,-0.10571691319151771,0.4813008675791243,1.7881123593155126,0.03808296546785021,0.9152188594470788,1.447657232614331,2.1712794112418794,6.7,0.6947692470232358,1.4929231727356678,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
TRON: Legacy ,0.6633112771561848,2.4636415284296627,-0.13881106365405582,0.2862166203378517,1.7881123593155126,0.13182621270455594,0.7525719569524288,1.0694861303847285,1.7303133253483942,6.8,0.5600503485826919,0.9771636645849398,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cars 2 ,-0.17434922279563184,1.1329955579634106,-0.09810525858513401,-0.4290922862134811,-0.2350894363862175,0.011834856241572614,-0.3596140027221195,-0.0111495283863331,2.0080322838022395,6.3,0.6947692470232358,0.03941910431088867,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Green Lantern ,0.5751364876875725,2.1975123343364125,-0.17389086314434624,0.5463289499928818,-0.3578495056992506,-0.22921920808138446,0.3358981492957358,0.7990703239906201,0.9363634490226308,5.6,0.6947692470232358,0.6958402965027245,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Toy Story 3 ,-0.3066114069985503,2.334609191899602,-0.21790608325952193,0.4813008675791243,-0.2170430378120693,-0.017627307175677485,0.4112826922241227,2.9303830970587303,5.208158221746104,8.3,0.6947692470232358,0.9771636645849398,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminator Salvation ,0.3546995140160418,2.084609039872609,-0.13748729763555434,1.0015255268891845,0.2285470504385044,0.12539810432261034,0.8538237450033014,1.214750929347898,1.0612972159740732,6.6,0.6947692470232358,-0.4294531758261365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Furious 7 ,1.3246221981707769,2.1007380819388666,-0.2592737713376945,1.196609774130457,4.684447932944242,7.0956102931455485,3.5821318315753548,1.1626234597309115,4.278323075433341,7.2,0.6498629475430545,3.977946257461903,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
World War Z ,0.5751364876875725,3.9555779195584906,-0.12855187701066903,0.6113570324066394,2.0109074034407994,0.13182621270455594,1.1137631633361988,2.400921013762201,2.164088127680072,7.0,0.6498629475430545,5.618999237941492,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
X-Men: Days of Future Past ,1.721408750779532,3.028158000748679,-0.2592737713376945,1.7168344334405174,4.461652888818955,10.309664484118317,4.230607829707222,2.7264674366302826,2.615952031296992,8.0,0.6947692470232358,3.415299521297472,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Star Trek Into Darkness ,0.9719230402963278,3.439448573438248,4.373907293417639,0.7414131972341544,-0.2212761436504497,0.09325756241288272,0.5340729211116773,1.9405313081763893,2.5420988796540067,7.8,0.6498629475430545,3.8841718014344977,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jack the Giant Slayer ,0.17834993507881705,1.4071892730897897,-0.2592737713376945,-0.43045787594417,-0.3157412423595714,-0.3288548880015404,-0.5029924471153262,0.0235756001719491,0.200211394470869,6.3,0.6723160972831452,0.6020658404753194,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Great Gatsby ,1.4568843823736952,2.6329964701253674,0.07166773328768619,1.3916940213717297,-0.3264354044775852,-0.3626024570067545,0.9753470067828156,1.7240064086265496,1.3403576630072744,7.3,0.2681594019615133,4.962578045749656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Prince of Persia: The Sands of Time ,0.2665247245474295,1.1491246000296682,-0.20003524200975134,0.4813008675791243,-0.3135132919183185,-0.2774300209459761,0.2562903826738819,0.792507155362766,0.5664709613159287,6.6,0.6947692470232358,0.648953068489022,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pacific Rim ,0.9278356455620216,3.318480757941316,-0.2592737713376945,0.5463289499928818,-0.2241724792240785,0.08843648112642351,0.4155587062137581,1.8449013006442736,0.7243750544874017,7.0,0.6498629475430545,3.4621867493111744,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Transformers: Dark of the Moon ,1.941845724451063,2.132996166071382,-0.2592737713376945,-0.4359852629493394,-0.2551409903574934,-0.09262190496504198,-0.4593348721841103,1.4804929641433828,4.311603230326702,6.3,0.6723160972831452,1.7273593128041804,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Indiana Jones and the Kingdom of the Crystal Skull ,0.5310490929532664,2.471706049462792,4.373907293417639,0.22118853792409393,-0.2170430378120693,0.13182621270455594,0.1934699302335593,1.531321058961319,3.805563116091669,6.2,0.6274097978029639,-0.19501703575762386,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brave ,-0.7474853543416117,2.61686742805911,-0.24074104707867322,-0.3640642037997236,-0.2170430378120693,0.045046749548291215,-0.3320046778260787,1.1316240895250071,2.664157089495086,7.2,0.6274097978029639,1.3991487167082626,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek Beyond ,0.5310490929532664,1.278156936559729,-0.033902606687810116,-0.4292223423783086,-0.413325471686447,-0.3476035374488815,-0.5261673871332266,-0.3265197251496113,1.135005331377824,7.5,0.6274097978029639,0.9771636645849398,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
WALL·E ,-0.527048380670081,2.0765445188394804,-0.10207655664063851,-0.4290922862134811,-0.277420494770022,-0.12422677117627419,-0.4391689790478051,4.083598119605292,2.4712436733169443,8.4,0.6049566480628732,0.3207424723931042,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rush Hour 3 ,-0.835660143810224,-0.012166428740879028,-0.12027833939503452,-0.4766928425403516,-0.3801290101117793,-0.3111775899511902,-0.5368310269592309,0.1208165672763565,1.272614730216834,6.2,0.4253314501421479,-0.4294531758261365,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012 ,2.1181953033882874,1.641060383050525,-0.002463163748398915,-0.4290922862134811,-0.3355700012867219,-0.23779001925731189,-0.4830377151636941,1.1970038561996503,1.645281231055527,5.8,0.6947692470232358,0.18008078835199626,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Christmas Carol ,-0.6152231701386933,0.6168662118431674,-0.2592737713376945,0.676385114820397,2.67929253581666,4.952907499163706,1.9840639859674207,-0.1992207716222845,1.2406790702803077,6.8,0.6947692470232358,-0.4294531758261365,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jupiter Ascending ,0.7514860666247971,1.7781572406137145,-0.2592737713376945,0.6113570324066394,2.902087579941947,6.559934594650088,1.902555768683508,0.2435213027641856,-0.0545652532173875,5.4,0.5869941282708007,1.6335848567767757,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Legend of Tarzan ,0.0020003561415924296,0.6813823801081977,-0.16594826703333712,0.22118853792409393,1.7881123593155126,-0.3486748888458724,0.5216144112159494,-0.4010017448808642,1.043140929310219,6.6,0.6049566480628732,0.9302764365712372,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",1.7654961455138385,0.9717051373008346,-0.23279845096766402,-0.4290922862134811,-0.3975070235535517,-0.3599240785142771,-0.52669529009491,1.2174756387479466,3.44334804318512,6.9,0.6049566480628732,-0.4294531758261365,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: Apocalypse ,1.5009717771080016,1.87493149301126,-0.2592737713376945,1.7168344334405174,2.456497491691373,0.13182621270455594,2.0266129646791025,0.3017677669705753,1.485985027634386,7.3,0.5959753881668369,2.102457136913801,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Dark Knight ,1.8536709349824505,3.882997230260332,7.021439330420687,1.0015255268891845,2.456497491691373,5.488583197659168,2.455164588973672,10.430195441666688,6.902202741070649,9.0,0.6274097978029639,1.3053742606808576,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Up ,-0.6152231701386933,1.9717057454088056,-0.2592737713376945,-0.4290922862134811,-0.2509078845191129,-0.2635024527850941,-0.4571176797450401,3.730499647426744,3.4615253315430774,8.3,0.5825034983227826,0.8365019805438322,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monsters vs. Aliens ,-0.7033979596073056,0.4475112701474624,-0.2556334147868153,-0.4290922862134811,-0.223058504003452,-0.15797434018148826,-0.460073936330467,0.0775195427223011,2.106544874498121,6.5,0.5825034983227826,-0.4294531758261365,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Iron Man ,0.707398671890491,2.600738385992853,1.0644922471638292,0.8714693620616696,2.2337024475660865,1.738853308190939,1.4759045950509986,3.9344418257082334,3.8239888600741367,7.9,0.4253314501421479,0.03941910431088867,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hugo ,0.707398671890491,4.181384508486097,5.366731807293782,0.6113570324066394,3.124882624067234,0.13182621270455594,1.3051279869464243,0.9445207479250828,0.3240202322340223,7.5,0.5600503485826919,1.5398104007493705,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wild Wild West ,-0.17434922279563184,-0.6331345482917966,-0.19705676846812292,0.15616045551033644,0.4513420945637913,-0.09208622926654658,0.2415618900429154,0.1772797058656828,0.8955943505648805,4.8,0.5600503485826919,-0.4294531758261365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The Mummy: Tomb of the Dragon Emperor ,0.09017514561020473,0.8104147166382586,-0.14112765418643353,-0.16897995655845097,0.2285470504385044,-0.08512244518610558,-0.1141919158355153,0.0998873517630886,0.7299681048331511,5.2,0.4477845998822386,-0.4294531758261365,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Suicide Squad ,0.5751364876875725,2.052350955740094,-0.10968821124702231,0.15616045551033644,-0.3649789471112598,-0.22761218098589817,-0.0003760372965782,0.1069477301354771,1.5733431418666313,6.9,0.5825034983227826,3.321525065270067,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Evan Almighty ,-0.6152231701386933,0.18138207605421183,-0.16230791048245793,5.163322801369667,2.0109074034407994,3.345880403677322,5.105976520770605,0.0811392296625116,0.7029611717160263,5.4,0.5825034983227826,-0.3356787197987314,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Edge of Tomorrow ,0.13426254034451085,3.399125968272604,-0.18712852332936153,0.15616045551033644,-0.2495711142543612,-0.13119055525671527,0.0716827169732032,2.1795035703261423,0.7015268576529873,7.9,0.5959753881668369,3.1808633812289595,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Waterworld ,2.911768408605798,-0.5847474220930238,-0.24007916406942242,-0.447885402031057,-0.426470379289839,-0.3717089438811773,-0.5432186527955999,0.2749714764718015,0.5305458527809231,6.1,0.5825034983227826,-0.4294531758261365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
G.I. Joe: The Rise of Cobra ,0.3546995140160418,0.6975114221744554,-0.19043793837561532,1.0015255268891845,0.0057520063132175,-0.09851433764849209,0.812383362511156,0.4754530749313313,1.4170179122506017,5.8,0.5825034983227826,-0.4294531758261365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Inside Out ,-0.6593105648729994,3.003964437649292,-0.2592737713376945,-0.4290922862134811,-0.2689542830932612,-0.19815001756864778,-0.4408054782290236,1.6065720964307852,4.370236009023106,8.3,0.5825034983227826,5.103239729790763,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Jungle Book ,-0.17434922279563184,1.6652539461499114,1.0644922471638292,0.7414131972341544,2.456497491691373,-0.08726514798008739,1.1416892300092498,0.0212950648103514,4.4588636448842935,7.8,0.5825034983227826,2.618216645064529,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 2 ,0.6192238824218786,2.334609191899602,1.0644922471638292,0.8714693620616696,3.793267756443095,1.738853308190939,1.9713943148870203,2.781133990676025,3.734645806585542,7.0,0.6947692470232358,0.4145169284205093,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Snow White and the Huntsman ,0.9719230402963278,2.036221913673836,-0.16859579907034014,1.196609774130457,3.347677668192521,5.488583197659168,3.2511894648960427,0.8332849838778471,1.4877992762303478,6.1,0.5600503485826919,2.0555699089000985,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maleficent ,-0.5711357754043871,1.915254098176904,-0.20268277404675442,0.22118853792409393,0.0057520063132175,0.04933215513625491,0.2228741251993237,0.9904231515404984,2.723213022979693,7.0,0.6049566480628732,3.74351011739339,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Dawn of the Planet of the Apes ,0.8837482508277155,2.88299662215236,-0.19374735342186913,0.15616045551033644,0.0057520063132175,0.06968783167908241,0.1620069137172299,1.423227660499541,2.2527359492186187,7.6,0.5600503485826919,1.680472084790478,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47 Ronin ,0.7955734613591032,0.4394467491143336,-0.24371952062030164,0.676385114820397,-0.2170430378120693,0.12218405013163762,0.5105284490205985,0.0937020625410807,-0.1845269717611198,6.3,0.5825034983227826,1.2115998046534524,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier ,1.1482726192335524,3.3265452789744443,-0.22816526990290872,0.7414131972341544,2.0109074034407994,0.6675019112000171,1.3141551275912104,2.6112738830165534,2.985764692523586,7.8,0.5600503485826919,2.1493443649275035,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
